grod_id,type,lon,lat,sword_reach_id,distance_to_sword
1,Dam,-147.94549942016602,70.28739413725813,81390400344,32.93148763177501
2,Dam,-135.03957866574638,60.69371858265338,81298300044,10.182846708434594
3,Dam,-122.805604924215,43.923912937225055,78220000274,72.00572780955443
4,Dam,-122.75218603899702,43.914758923582525,78220000294,34.36059791006147
5,Dam,-122.6702713756822,44.41508393527275,78220000526,40.13562565140995
6,Dam,-122.61174018960446,44.13764691139036,78220000404,33.488485494972615
7,Dam,-122.58812068845145,46.50273474391612,78210000134,9.761745984421472
8,Dam,-122.55554791074246,45.956758926157626,78210000386,404.5907378882056
9,Dam,-122.44550229166634,40.612087364153844,77449300134,2.24500124979978
10,Dam,-122.43614681996405,41.93421029871695,77480300184,68.71315305283518
11,Dam,-122.42546077352017,46.53431805417607,78210000164,37.06214446043914
12,Dam,-122.42001058766618,40.718574784380685,77449300214,135.2562064377272
13,Dam,-122.33434081077576,41.979444318965136,77480300224,53.875663729182406
14,Dam,-122.10920690442435,46.466592248465055,78210000214,46.82981835977298
15,Dam,-122.01637029909762,40.8428886602993,77449700054,20.741179341623635
16,Dam,-121.99544910807163,55.98229821246674,82297700044,138.1709133936585
17,Dam,-121.99405432271305,40.923152044732234,77449700134,59.797915115562716
18,Dam,-121.99028313421877,40.84814383772104,77449700074,53.38441244309959
19,Dam,-121.9489073753357,42.134696087822235,77480300284,40.39924450301288
20,Dam,-121.80178821086884,42.23410599007356,77480300344,37.95371803722402
21,Dam,-121.24771892893477,44.724048175132964,78240000134,55.5700166287861
22,Dam,-121.23110532498686,44.69418926029952,78240000164,52.45711151768052
23,Dam,-121.21968982508406,38.63603944265617,77444000054,28.124620565216595
24,Dam,-120.46569943297072,46.74907997380251,78261200174,68.18989406975665
25,Dam,-120.2941346168518,47.53286406999848,78261500134,51.85223751848605
26,Dam,-120.09243250417057,47.343810064131134,78261500064,163.10159745200315
27,Dam,-119.97143268585205,46.87398090652602,78261300164,175.6947749603605
28,Dam,-119.9086046218872,46.64454517468215,78261300114,84.56329253504128
29,Dam,-119.86137628555298,47.947166035134195,78261700034,234.21389824237968
30,Dam,-118.97976636886597,47.95645017920968,78263000134,46.11246175431021
31,Dam,-118.87970924377441,46.24939229512047,78270500034,44.24910642794804
32,Dam,-117.8395727276802,47.83707125971867,78264000074,59.277593405060344
33,Dam,-117.77369499206543,49.34128643574747,78269100034,11.338356045193573
34,Dam,-117.61969327926636,49.32474438434313,78268100024,75.44731686803455
35,Dam,-117.61160373687744,49.00385688520133,78266100014,55.56284278018697
36,Dam,-117.5440388917923,47.77486769134668,78264000124,52.56378851592366
