time_hr,discharge_cumecs
0.0000,0.00
0.0500,2649.28
0.1000,5042.52
0.1500,6950.65
0.2000,8200.42
0.2500,8694.28
0.3000,8421.19
0.3500,7457.54
0.4000,5738.38
0.4500,3729.89
0.5000,2183.99
0.5500,1043.13
0.6000,269.97
0.6500,0.00
0.7000,0.00
0.7500,0.00
0.8000,0.00
0.8500,0.00
0.9000,0.00
0.9500,0.00
1.0000,0.00
1.0500,0.00
1.1000,0.00
1.1500,0.00
1.2000,0.00
1.2500,0.00
1.3000,0.00
1.3500,0.00
1.4000,0.00
1.4500,0.00
1.5000,0.00
1.5500,0.00
1.6000,0.00
1.6500,0.00
1.7000,0.00
1.7500,0.00
1.8000,0.00
1.8500,0.00
1.9000,0.00
1.9500,0.00
2.0000,0.00
2.0500,0.00
2.1000,0.00
2.1500,0.00
2.2000,0.00
2.2500,0.00
2.3000,0.00
2.3500,0.00
2.4000,0.00
2.4500,0.00
2.5000,0.00
2.5500,0.00
2.6000,0.00
2.6500,0.00
2.7000,0.00
2.7500,0.00
2.8000,0.00
2.8500,0.00
2.9000,0.00
2.9500,0.00
3.0000,0.00
3.0500,0.00
3.1000,0.00
3.1500,0.00
3.2000,0.00
3.2500,0.00
3.3000,0.00
3.3500,0.00
3.4000,0.00
3.4500,0.00
3.5000,0.00
3.5500,0.00
3.6000,0.00
3.6500,0.00
3.7000,0.00
3.7500,0.00
3.8000,0.00
3.8500,0.00
3.9000,0.00
3.9500,0.00
4.0000,0.00
4.0500,0.00
4.1000,0.00
4.1500,0.00
4.2000,0.00
4.2500,0.00
4.3000,0.00
4.3500,0.00
4.4000,0.00
4.4500,0.00
4.5000,0.00
4.5500,0.00
4.6000,0.00
4.6500,0.00
4.7000,0.00
4.7500,0.00
4.8000,0.00
4.8500,0.00
4.9000,0.00
4.9500,0.00
5.0000,0.00
5.0500,0.00
5.1000,0.00
5.1500,0.00
5.2000,0.00
5.2500,0.00
5.3000,0.00
5.3500,0.00
5.4000,0.00
5.4500,0.00
5.5000,0.00
5.5500,0.00
5.6000,0.00
5.6500,0.00
5.7000,0.00
5.7500,0.00
5.8000,0.00
5.8500,0.00
5.9000,0.00
5.9500,0.00
6.0000,0.00
6.0500,0.00
6.1000,0.00
6.1500,0.00
6.2000,0.00
6.2500,0.00
6.3000,0.00
6.3500,0.00
6.4000,0.00
6.4500,0.00
6.5000,0.00
6.5500,0.00
6.6000,0.00
6.6500,0.00
6.7000,0.00
6.7500,0.00
6.8000,0.00
6.8500,0.00
6.9000,0.00
6.9500,0.00
7.0000,0.00
7.0500,0.00
7.1000,0.00
7.1500,0.00
7.2000,0.00
7.2500,0.00
7.3000,0.00
7.3500,0.00
7.4000,0.00
7.4500,0.00
7.5000,0.00
7.5500,0.00
7.6000,0.00
7.6500,0.00
7.7000,0.00
7.7500,0.00
7.8000,0.00
7.8500,0.00
7.9000,0.00
7.9500,0.00
8.0000,0.00
